coluna,posicao,status,tipo_coluna,tipo_df1,tipo_df2,valores_unicos_df1,valores_unicos_df2,nulos_df1,nulos_df2,tamanho_df1,tamanho_df2,problema_tipo,comprimento_medio_df1,comprimento_medio_df2,valores_comuns,valores_so_df1,valores_so_df2,amostra_size,valores_iguais_amostra,taxa_igualdade_amostra,problemas
Activity,0,OK,texto,object,object,733,733,0,0,2541,2541,False,4.059818968909878,4.059818968909878,733,0,0,1000,1000,100.0,[]
Id_Leg,1,OK,texto,object,object,4,4,0,0,2541,2541,False,2.5769382133018497,2.5769382133018497,4,0,0,1000,1000,100.0,[]
Checkin,2,COM_PROBLEMAS,texto,object,object,1857,1857,0,0,2541,2541,False,19.0,16.0,0,1857,1857,1000,0,0.0,"['1857 valores únicos só no DF1', '1857 valores únicos só no DF2', 'Taxa de igualdade baixa: 0.0%']"
Start,3,COM_PROBLEMAS,texto,object,object,2541,2541,0,0,2541,2541,False,19.0,16.0,0,2541,2541,1000,0,0.0,"['2541 valores únicos só no DF1', '2541 valores únicos só no DF2', 'Taxa de igualdade baixa: 0.0%']"
Dep,4,OK,texto,object,object,59,59,0,0,2541,2541,False,3.0,3.0,59,0,0,1000,1000,100.0,[]
Arr,5,OK,texto,object,object,59,59,0,0,2541,2541,False,3.0,3.0,59,0,0,1000,1000,100.0,[]
End,6,COM_PROBLEMAS,texto,object,object,2541,2541,0,0,2541,2541,False,19.0,16.0,0,2541,2541,1000,0,0.0,"['2541 valores únicos só no DF1', '2541 valores únicos só no DF2', 'Taxa de igualdade baixa: 0.0%']"
Checkout,7,COM_PROBLEMAS,texto,object,object,1869,1869,0,0,2541,2541,False,19.0,16.0,0,1869,1869,1000,0,0.0,"['1869 valores únicos só no DF1', '1869 valores únicos só no DF2', 'Taxa de igualdade baixa: 0.0%']"
AcVer,8,OK,texto,object,object,13,13,0,0,2541,2541,False,1.9027941755214481,1.9027941755214481,13,0,0,1000,1000,100.0,[]
DD,9,OK,texto,object,object,9,9,0,0,2541,2541,False,1.0279417552144825,1.0279417552144825,9,0,0,1000,1000,100.0,[]
CAT,10,OK,texto,object,object,3,3,0,0,2541,2541,False,2.049586776859504,2.049586776859504,3,0,0,1000,1000,100.0,[]
Crew,11,OK,texto,object,object,647,647,0,0,2541,2541,False,77.38685556867375,77.38685556867375,647,0,0,1000,1000,100.0,[]
Tempo Apresentacao,12,OK,texto,object,object,77,77,0,0,2541,2541,False,15.000787091696182,15.000787091696182,77,0,0,1000,1000,100.0,[]
Operacao,13,OK,texto,object,object,253,253,0,0,2541,2541,False,15.0,15.0,253,0,0,1000,1000,100.0,[]
Tempo Solo,14,OK,texto,object,object,142,142,0,0,2541,2541,False,15.0,15.0,142,0,0,1000,1000,100.0,[]
Jornada,15,OK,texto,object,object,370,370,0,0,2541,2541,False,15.0,15.0,370,0,0,1000,1000,100.0,[]
Repouso,16,OK,texto,object,object,554,554,1,1,2541,2541,False,15.2172373081464,15.2172373081464,554,0,0,1000,1000,100.0,[]
Repouso Extra,17,OK,texto,object,object,414,414,0,0,2541,2541,False,15.000787091696182,15.000787091696182,414,0,0,1000,1000,100.0,[]
Diurno,18,OK,texto,object,object,225,225,0,0,2541,2541,False,15.0,15.0,225,0,0,1000,1000,100.0,[]
Noturno,19,OK,texto,object,object,222,222,0,0,2541,2541,False,15.0,15.0,222,0,0,1000,1000,100.0,[]
Especial,20,OK,texto,object,object,26,26,0,0,2541,2541,False,15.0,15.0,26,0,0,1000,1000,100.0,[]
Especial Noturno,21,OK,texto,object,object,19,19,0,0,2541,2541,False,15.0,15.0,19,0,0,1000,1000,100.0,[]
Checkin_date,22,OK,texto,object,object,1728,1728,0,0,2541,2541,False,10.0,10.0,1728,0,0,1000,1000,100.0,[]
Checkout_date,23,OK,texto,object,object,1576,1576,0,0,2541,2541,False,10.0,10.0,1576,0,0,1000,1000,100.0,[]
Internacional,24,OK,texto,object,object,1,1,0,0,2541,2541,False,1.0,1.0,1,0,0,1000,1000,100.0,[]
